MCS,Energy,Order
00552,-7986.9754,0.4238
00553,-7961.5561,0.4243
00554,-7946.4180,0.4193
00555,-7997.1967,0.4212
00556,-7984.6122,0.4235
00557,-7972.1852,0.4198
00558,-7978.7173,0.4305
00559,-8006.3970,0.4307
00560,-8010.1350,0.4460
00561,-7997.1785,0.4419
00562,-8019.5041,0.4407
00563,-8035.6775,0.4452
00564,-7987.2380,0.4479
00565,-8018.1853,0.4546
00566,-8043.7192,0.4559
00567,-7984.5784,0.4595
00568,-8011.2335,0.4610
00569,-7980.0605,0.4630
00570,-7993.9970,0.4656
00571,-7996.4545,0.4635
00572,-8000.8018,0.4591
00573,-7956.0195,0.4542
00574,-7943.2065,0.4475
00575,-7964.1296,0.4439
00576,-7962.5804,0.4510
00577,-7997.0381,0.4576
00578,-8052.7308,0.4539
00579,-8025.1773,0.4606
00580,-8000.6416,0.4564
00581,-8040.8620,0.4613
00582,-7988.0710,0.4644
00583,-7911.3043,0.4649
00584,-7896.8076,0.4682
00585,-7904.6666,0.4676
00586,-7920.4195,0.4706
00587,-7965.5234,0.4739
00588,-7910.2753,0.4790
00589,-7933.7938,0.4837
00590,-7932.4698,0.4818
00591,-7951.0455,0.4779
00592,-7939.0954,0.4718
00593,-7950.2200,0.4765
00594,-8009.6874,0.4844
00595,-8048.8383,0.4866
00596,-8098.7149,0.4917
00597,-8020.8526,0.4935
00598,-8008.8999,0.4975
00599,-8011.1935,0.4963
00600,-7996.5864,0.4973
00601,-8010.0195,0.4910
00602,-8011.6248,0.4874
00603,-8029.0152,0.4909
00604,-7978.5517,0.4866
00605,-8009.2189,0.4969
00606,-7942.5617,0.4947
00607,-7952.2632,0.5027
00608,-7948.5912,0.4974
00609,-7991.6688,0.4990
00610,-7945.4905,0.4978
00611,-7936.5937,0.4987
00612,-7951.2072,0.4954
00613,-7980.7817,0.4988
00614,-7969.8851,0.4962
00615,-7978.7225,0.4939
00616,-7939.4898,0.4961
00617,-7898.3839,0.5014
00618,-7937.3523,0.5044
00619,-7942.3647,0.5058
00620,-7940.4164,0.5062
00621,-7978.4354,0.5104
00622,-8040.8931,0.5152
00623,-8011.0406,0.5146
00624,-7989.2092,0.5222
00625,-7967.5504,0.5149
00626,-7997.4532,0.5179
00627,-7968.6014,0.5224
00628,-7955.4379,0.5132
00629,-7900.8495,0.5103
00630,-7948.8150,0.5161
00631,-7976.0764,0.5146
00632,-7971.3302,0.5188
00633,-8018.1404,0.5183
00634,-7979.6817,0.5136
00635,-8003.3864,0.5202
00636,-7995.6018,0.5163
00637,-7979.4641,0.5180
00638,-7970.3222,0.5083
00639,-7972.6741,0.5107
00640,-8030.5588,0.5119
00641,-8057.8874,0.5110
00642,-8020.4014,0.5119
00643,-7985.3182,0.5006
00644,-7959.7198,0.5011
00645,-7931.7834,0.5081
00646,-7919.0472,0.5146
00647,-7896.3191,0.5126
00648,-7857.4553,0.5105
00649,-7901.2799,0.5087
00650,-7883.1363,0.5028
00651,-7946.1356,0.5128
00652,-7950.0197,0.5131
00653,-7884.2491,0.5145
00654,-7970.0685,0.5145
00655,-7929.7930,0.5173
00656,-7997.5905,0.5172
00657,-8040.9559,0.5169
00658,-8044.0114,0.5199
00659,-8018.3266,0.5210
00660,-8037.0161,0.5170
00661,-8068.4930,0.5190
00662,-8059.2353,0.5178
00663,-8020.3638,0.5194
00664,-8029.9840,0.5155
00665,-8012.1367,0.5134
00666,-8054.8484,0.5102
00667,-8038.5583,0.5152
